id,user_id,duration,submited_date,created_at,game_name,join_at
96886552,2580232,7163086,2023-06-01 18:06:00,2023-05-19 06:36:39,Other Games,2023-02-24 13:59:30
97882905,3198820,7249588,2023-06-05 05:09:28,2023-05-21 09:49:01,League of Legends,2023-04-27 21:48:57
98018265,2989826,34588468,2023-06-02 13:43:37,2023-05-21 14:56:00,Other Games,2023-02-28 20:27:40
98339228,2646193,16245921,2023-06-04 16:30:52,2023-05-22 10:20:35,Other Games,2023-05-01 22:20:31
98382750,4583871,11063831,2023-06-04 09:27:22,2023-05-22 11:56:36,Halo Infinite,2023-01-04 15:27:07
98692104,4350983,17647212,2023-06-04 13:57:00,2023-05-23 07:30:54,Other Games,4350983
99534767,2239396,4294718,2023-06-08 04:06:53,2023-05-25 02:57:32,Other Games,2023-01-17 15:23:19
99620777,128356,18816598,2023-06-04 02:35:03,2023-05-25 06:25:32,Other Games,2023-03-24 20:05:05
99687752,1798435,7794206,2023-06-03 22:51:04,2023-05-25 09:03:33,League of Legends,2023-04-13 21:03:29
99796886,11981,36568634,2023-06-04 13:49:17,2023-05-25 12:10:43,Fall Guys,2023-02-05 00:38:25
100011629,3975157,37257188,2023-06-05 20:41:32,2023-05-26 03:17:07,Other Games,2023-04-14 09:25:19
100352849,2373134,18901955,2023-06-04 15:25:04,2023-05-26 16:35:42,Other Games,2023-04-01 00:53:50
100454040,2239396,1525029,2023-06-03 02:58:08,2023-05-27 02:30:19,Other Games,2023-01-17 15:23:19
100476365,2934052,25426028,2023-06-07 01:16:04,2023-05-27 03:35:48,SMITE,2023-02-28 16:47:14
100497703,2563987,6174917,2023-06-01 18:02:12,2023-05-27 04:36:50,Other Games,2023-03-15 02:15:12
100512790,278138,12684755,2023-06-07 00:22:28,2023-05-27 05:10:35,Other Games,2023-01-04 13:27:03
100561341,4082540,10305601,2023-06-06 00:10:04,2023-05-27 07:05:29,Other Games,2023-02-14 02:13:57
100670005,2989826,15266742,2023-06-02 13:43:10,2023-05-27 11:05:28,COD: Warzone3-2 & MW3-2,2023-02-28 20:27:40
100718744,4583871,17401513,2023-06-11 03:26:58,2023-05-27 12:21:35,Other Games,2023-01-04 15:27:07
100917789,1335253,30568017,2023-06-02 00:27:40,2023-05-28 01:50:29,Other Games,2023-02-22 04:58:10
101002389,1876782,3402775,2023-06-04 00:35:32,2023-05-28 06:00:45,Other Games,2023-02-22 05:05:16
101121440,1377027,12822897,2023-06-02 10:12:00,2023-05-28 10:56:57,Apex Legends,2023-04-23 22:47:48
101268174,1067256,12421324,2023-06-03 09:53:49,2023-05-28 18:30:10,Fortnite,2023-02-06 22:16:17
101276869,3949480,28858523,2023-06-03 16:12:24,2023-05-28 19:30:10,COD: Warzone3-2 & MW3-2,2023-03-02 02:03:03
101297972,2255105,28643229,2023-06-07 11:16:48,2023-05-28 22:03:05,Other Games,2023-04-06 10:03:01
101329368,1876782,7520540,2023-06-11 06:11:39,2023-05-29 00:45:15,Other Games,2023-02-22 05:05:16
101690375,3949480,27935434,2023-06-01 18:06:09,2023-05-29 18:55:06,COD: Warzone3-2 & MW3-2,2023-03-02 02:03:03
101765340,4903650,14836058,2023-06-01 17:32:37,2023-05-30 01:17:44,Other Games,2023-03-06 05:26:03
101947324,3592984,34793324,2023-06-01 16:19:34,2023-05-30 08:40:16,League of Legends,2023-01-09 23:18:09
102036201,11981,26850385,2023-06-04 13:50:51,2023-05-30 11:35:25,Other Games,2023-02-05 00:38:25
102063555,4661580,14587497,2023-06-05 13:01:32,2023-05-30 12:17:27,Other Games,2023-02-11 23:10:47
102168600,419340,26947720,2023-06-06 19:15:09,2023-05-30 18:35:22,SMITE,2023-03-02 19:12:10
102279990,4761586,32567126,2023-06-01 18:02:48,2023-05-31 03:35:27,Other Games,2023-01-18 10:52:12
102366987,3283283,35230245,2023-06-09 19:38:48,2023-05-31 06:51:46,COD: Warzone3-2 & MW3-2,2023-04-04 11:25:29
102460658,1384361,30932711,2023-06-06 10:22:43,2023-05-31 10:16:04,SMITE,2023-01-24 13:40:19
102557807,4361577,30852395,2023-06-07 08:47:56,2023-05-31 12:52:14,Other Games,2023-02-21 18:57:01
